Time,Temperature,Rel_Humidity,S1,S2,S3,S4,S5,S6,S7,S8
3,20.94,35.98,312,280,504,568,528,647,578,664
3.1,20.94,35.98,310,280,504,568,527,647,578,664
3.2,20.94,35.98,311,280,503,567,528,648,577,664
3.3,20.94,35.98,310,280,503,567,527,648,578,665
3.4,20.94,35.98,311,280,503,568,528,647,577,664
3.5,20.94,35.98,310,280,504,568,528,647,577,664
3.6,20.94,35.98,310,280,503,568,528,647,578,664
3.7,20.94,35.98,310,280,503,568,527,647,577,665
3.8,20.94,35.98,310,280,503,568,528,647,578,664
3.9,20.92,36.01,310,280,503,567,527,648,577,664
4,20.92,36.01,310,280,504,567,527,647,577,664
4.1,20.92,36.01,310,280,504,567,528,648,578,664
4.2,20.92,36.01,312,279,504,567,527,647,577,664
4.3,20.92,36.01,310,280,503,568,527,647,577,664
4.4,20.92,36.01,309,280,503,567,527,647,577,664
4.5,20.92,36.01,310,279,503,567,527,647,577,664
4.6,20.92,36.01,309,280,504,567,527,646,577,664
4.7,20.92,36.01,310,280,503,567,526,647,577,664
4.8,20.92,36.01,311,280,503,567,527,647,577,664
4.9,20.93,36.05,310,280,503,567,527,647,576,664
5,20.93,36.05,310,279,503,567,527,647,577,664
5.1,20.93,36.05,310,279,503,567,527,646,577,664
5.2,20.93,36.05,310,280,504,567,527,647,577,664
5.3,20.93,36.05,311,280,503,567,527,647,577,664
5.4,20.93,36.05,312,280,503,567,527,647,577,664
5.51,20.93,36.05,310,279,503,567,527,647,577,664
5.61,20.93,36.05,310,280,504,567,527,647,577,664
5.71,20.93,36.05,310,279,504,567,527,647,577,664
5.81,20.93,36.05,311,280,504,567,527,647,578,664
5.91,20.94,36.01,311,280,503,567,527,647,577,664
6.01,20.94,36.01,310,280,503,567,527,647,577,664
6.11,20.94,36.01,311,280,504,567,527,647,577,664
6.21,20.94,36.01,310,280,503,567,527,647,577,664
6.31,20.94,36.01,310,279,503,566,527,647,577,664
6.41,20.94,36.01,311,280,503,567,527,647,577,664
6.51,20.94,36.01,310,280,503,567,527,647,577,664
6.61,20.94,36.01,310,279,503,567,527,647,577,664
